sample_id,cab_gate,mix_gate,cab_mean_l1_from_uniform,cab_mean_max_abs_from_uniform,cab_mean_kl_from_uniform,cab_mean_one_minus_entropy,mix_l1_from_uniform,mix_max_abs_from_uniform,mix_kl_from_uniform,mix_one_minus_entropy,cab_head_best_idx,cab_head_best_score
99,0.5239022374153137,1.0,0.032404039055109024,0.010256767272949219,0.0005419491639694208,0.00039093741092655065,0.006918713450431824,0.002341166138648987,2.5336854347399944e-05,1.8276677059336777e-05,2,0.02342960152312211
100,0.5239022374153137,1.0,0.03065420687198639,0.009959816932678223,0.00048700308043433797,0.0003513133656813383,0.00649121031165123,0.002241373062133789,2.2240974065448394e-05,1.6069548526537192e-05,2,0.022760636030185494
101,0.5239022374153137,1.0,0.029011718928813934,0.010429352521896362,0.000442622777394561,0.00031929229354643596,0.005985535681247711,0.002002120018005371,1.8727919592350034e-05,1.3501887780403843e-05,2,0.022924620597788964
102,0.5239022374153137,1.0,0.03098549321293831,0.009613007307052612,0.000493919211826434,0.00035629112404125807,0.0060277655720710754,0.002065032720565796,1.9256476621988343e-05,1.3868259921917536e-05,2,0.021351450316547067
103,0.5239022374153137,1.0,0.030716653913259506,0.009836196899414062,0.0004895671038446271,0.00035314429115926305,0.006670001894235611,0.0020484626293182373,2.27568895932983e-05,1.6404450010248928e-05,2,0.02208465404805908
104,0.5239022374153137,1.0,0.03138183429837227,0.009651035070419312,0.0005098635604829629,0.0003678074415708332,0.0063787102699279785,0.0019579529762268066,2.08625739332402e-05,1.5034264815694254e-05,2,0.022444072959103334
105,0.5239022374153137,1.0,0.03111518919467926,0.009894102811813354,0.000503822613825177,0.0003634311932266543,0.006606273353099823,0.0018708407878875732,2.2027366015574766e-05,1.5881935276657044e-05,2,0.022706738512311635
106,0.5239022374153137,1.0,0.02787986770272255,0.009053722023963928,0.00040786356638228293,0.0002942150975797919,0.006044793874025345,0.0019015371799468994,1.8668957927045525e-05,1.3485432961507504e-05,2,0.02070909043917013
107,0.5239022374153137,1.0,0.027021843940019608,0.00861947238445282,0.00038404665176424053,0.0002770348252754684,0.005450524389743805,0.0018576830625534058,1.5498147197038215e-05,1.1172099471462582e-05,2,0.019824013516659675
108,0.5239022374153137,1.0,0.025299973785877228,0.00807274878025055,0.00033905184466485427,0.00024459655919287226,0.005316585302352905,0.0021173059940338135,1.6156977873849846e-05,1.1654795927185102e-05,2,0.0191738916427057
